2022-12-10 18:31:33,397 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 7
2022-12-10 18:31:33,397 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 7
2022-12-10 18:31:33,398 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 8
2022-12-10 18:31:33,398 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,398 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 7
2022-12-10 18:31:33,398 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,399 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,399 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 8
2022-12-10 18:31:33,399 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 7
2022-12-10 18:31:33,399 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,399 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 8
2022-12-10 18:31:33,400 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 8
2022-12-10 18:31:33,400 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 9
2022-12-10 18:31:33,400 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,400 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 8
2022-12-10 18:31:33,401 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,401 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,401 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 9
2022-12-10 18:31:33,401 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 8
2022-12-10 18:31:33,401 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,402 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 9
